12	34
21
1	1
0
91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91
158	66	67	68	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66
158	158	88	89	90	90	90	90	90	90	90	90	90	90	90	90	90	90	110	111	110	111	110	111	110	111	110	111	110	111	110	111	110	111
158	158	88	89	90	90	90	90	90	90	90	90	90	90	90	90	90	90	173	131	132	131	132	131	132	131	132	131	132	131	132	131	132	131
158	158	88	89	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	151	152	151	152	151	131	132	131	132	131	132	131	132	131	132
158	158	88	89	90	90	90	90	90	90	90	90	90	90	90	90	90	90	173	172	173	131	132	131	132	131	132	131	132	131	132	131	132	131
158	158	88	89	90	90	90	193	194	90	90	90	90	193	194	90	90	90	90	193	194	151	131	132	173	193	194	151	131	132	131	132	131	132
158	158	88	89	90	90	90	158	158	90	90	90	90	158	158	90	90	90	173	158	158	172	173	131	132	158	158	131	132	131	132	131	132	131
158	158	88	89	90	90	90	158	158	90	90	90	90	158	158	90	90	90	152	158	158	151	131	132	131	158	158	151	131	132	131	132	131	132
158	158	88	89	90	90	90	158	158	90	90	90	90	158	158	90	90	90	90	158	158	172	173	172	173	158	158	131	132	131	132	131	132	131
72	73	72	73	72	73	72	73	72	73	72	73	72	73	72	73	72	73	72	73	72	73	72	73	72	73	72	73	72	73	72	73	72	73
76	76	76	55	76	76	76	55	76	76	76	55	76	76	76	55	76	76	76	55	76	76	76	55	76	76	76	55	76	76	76	55	76	76
