12	128
33
0	0
4
21	500	368	401	434	467
22	500	369	402	435	468
23	500	370	403	436	469
24	500	367	400	433	466
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	67	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	235	235	68	68	68	68	68	68	68	68	68	68	68	238	239	138	240	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	67	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	206	272	273	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	70	101	101	101	101	101	101	101	101	307	308	309	310	101	307	308	309	310	101	307	308	309	310	101	307	308	309	310	101	307	308	309	310	101	307	308	309	310	101	307	308	309	310	202	307	308	309	310	202	307	308	309	310	202	202	76	202	202	202	202	202	202	202	202	202	39	273	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	67	68	68	68	68	68	340	341	342	343	68	340	341	342	343	68	340	341	342	343	68	340	341	342	343	68	340	341	342	343	68	340	341	342	343	68	340	341	342	343	68	340	341	342	343	68	340	341	342	343	68	68	235	68	68	68	68	68	68	68	68	206	337	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	67	68	68	68	68	68	373	374	375	376	68	373	374	375	376	68	373	374	375	376	68	373	374	375	376	68	373	374	375	376	68	373	374	375	376	68	373	374	375	376	68	373	374	375	376	68	373	374	375	376	68	68	68	68	68	68	68	68	68	68	238	204	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	118	119	120	121	154	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	70	101	101	101	101	101	406	407	408	409	101	406	407	408	409	101	406	407	408	409	101	406	407	408	409	101	406	407	408	409	202	406	407	408	409	202	406	407	408	409	202	406	407	408	409	202	406	407	408	409	202	202	202	76	202	202	202	202	202	202	102	237	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	152	153	20	20	20	20	20	20	20	20	20	20	20	20	20	208	211	151	152	153	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	133	134	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	235	35	35	35	35	35	203	204	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
152	153	154	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	241	244	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	151	152	153	154	20	20	20	20	20	166	200	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	236	237	20	20	20	20	20	20	20	20	20	20	20	20	20	151	154	151	20	20
185	184	208	209	210	209	210	211	185	184	208	211	185	186	208	211	185	184	208	209	210	209	210	211	187	184	274	277	185	186	212	184	185	184	185	184	185	155	156	186	185	159	185	184	185	184	185	184	185	186	185	184	103	200	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	78	79	268	268	269	270	184	185	184	185	184	185	184	185	184	185	184	185	157	159	184	185	184	185	184
188	188	241	242	243	242	243	244	188	217	241	244	188	188	241	244	188	188	241	242	243	242	243	244	188	188	241	244	188	188	245	188	188	188	188	188	188	188	188	190	191	192	193	188	188	188	188	188	188	188	188	135	136	200	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	0	0	300	301	302	188	208	209	210	209	210	209	210	211	188	188	188	190	191	192	193	188	188	188	188
220	220	274	275	276	275	276	277	220	220	274	277	222	220	274	277	220	220	274	275	276	275	276	277	220	220	274	277	219	220	278	220	220	220	220	219	220	220	222	224	224	224	224	227	228	217	218	188	188	188	168	201	167	200	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	332	333	334	188	188	241	242	243	242	243	242	243	244	188	229	221	225	225	225	225	220	219	220	220
