11	35
33
0	0
0
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	143	182	182	116	20	20	20	20	20	20	20	20	20	20	20	20	20	20	143	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	143	82	149	149	83	20	20	20	20	20	20	20	20	20	20	20	20	20	143	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	143	115	182	182	116	20	20	20	20	20	20	20	20	20	20	20	78	79	143	20
20	20	20	20	20	47	48	47	48	47	48	20	20	20	20	143	148	149	149	149	83	20	20	20	20	20	20	20	20	20	20	20	109	110	20
20	20	20	20	20	80	81	80	81	80	81	20	20	20	20	143	181	182	182	182	116	20	20	20	20	20	20	20	20	20	20	20	20	143	20
4	10	5	5	5	5	5	5	5	5	5	5	5	6	20	143	20	82	149	149	149	83	20	20	20	20	20	20	20	20	20	20	20	143	20
4	5	5	5	5	5	5	5	5	5	5	5	5	6	20	143	20	115	182	182	182	116	20	20	20	20	20	20	20	20	20	20	175	176	177
4	5	5	5	5	5	5	5	5	5	5	5	5	6	20	143	20	148	149	149	149	149	83	20	20	20	20	20	20	20	20	1	2	2	2
138	138	41	41	42	7	5	5	8	40	41	41	138	138	175	176	177	181	182	182	182	182	116	20	20	20	20	20	20	20	74	75	36	35	35
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	20	20	20	20	20	74	107	68	68	68	68
35	35	36	35	35	36	35	35	36	35	35	36	35	35	36	35	35	36	35	35	36	35	35	37	234	78	79	234	234	107	68	68	68	68	68
