12	30
14
1	1
0
297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297
297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297
297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297
297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297
297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297
229	230	230	230	230	229	230	230	230	230	229	230	230	230	230	229	230	230	230	230	229	230	230	230	230	229	230	230	230	230
281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281
281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281
271	272	272	272	272	271	272	272	272	272	271	272	272	272	272	271	272	272	272	272	271	272	272	272	272	271	272	272	272	272
285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285
297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297
297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297	297
