#id	name	type	x	y	width	height	ani_set_id
192
0	Gimmick	1	0	90	0	0	1
1	Ground	500	64	160	16	32	
2	Ground	500	0	128	64	64	
3	Ground	500	0	16	64	80	
4	Ground	500	0	0	208	16	
5	Ground	500	208	0	32	144	
6	Ground	500	192	160	64	32	
7	Ground	500	256	0	16	192	
8	pipe	-9	0	96	16	16	19
9	pipe	-9	16	96	16	16	24
10	pipe	-9	0	112	16	16	20
11	pipe	-9	16	112	16	16	25
12	Elevator	55	65	128	8	8
13	pipe	-10	240	0	16	16	1
14	pipe	-10	240	16	16	16	1
15	pipe	-10	240	32	16	16	1
16	pipe	-10	240	48	16	16	1
17	pipe	-10	240	64	16	16	1
18	pipe	-10	240	80	16	16	1
19	pipe	-10	240	96	16	16	1
20	pipe	-10	240	112	16	16	1
21	pipe	-10	240	128	16	16	1
22	pipe	-10	240	144	16	16	28
23	pipe	-10	224	144	16	16	0
24	portal	-11	240	0	16	16	1	6
