14	32
14
86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	128	85	
86	202	100	100	100	100	100	216	86	202	100	100	100	100	100	100	216	202	100	100	100	100	100	100	100	100	100	100	216	86	128	85	
86	87	175	175	176	175	175	85	86	87	175	175	175	175	175	174	85	87	175	175	175	175	175	175	174	175	176	0	99	101	0	85	
86	87	204	204	205	0	0	99	100	101	204	204	204	204	204	188	85	87	218	189	204	191	218	218	188	218	219	0	0	0	0	85	
86	87	204	103	205	0	0	0	190	204	191	218	218	189	204	188	99	101	0	203	204	205	0	0	188	0	0	0	0	0	0	85	
86	87	204	204	205	0	0	0	203	204	205	0	0	203	204	188	176	0	0	217	218	219	0	0	188	0	0	88	72	72	72	107	
86	87	218	218	219	0	0	0	217	218	219	0	0	203	204	188	205	0	0	0	0	0	0	225	188	0	88	89	86	86	86	86	
86	87	0	71	106	78	79	0	0	0	0	0	0	217	218	188	219	0	0	0	0	0	0	0	188	88	89	86	86	86	86	86	
86	87	0	85	86	86	77	78	79	0	0	0	0	0	0	188	0	88	72	73	0	0	71	72	72	90	86	86	86	86	86	86	
86	87	128	85	86	86	86	86	77	78	79	0	0	0	0	188	88	89	86	87	0	0	86	86	86	86	86	86	86	86	86	86	
86	87	128	85	86	86	86	86	86	86	77	72	73	136	71	72	90	86	86	87	136	136	85	86	86	86	86	86	86	86	86	86	
86	87	128	85	86	86	86	86	86	86	86	86	87	148	85	86	86	86	86	87	148	148	85	86	86	86	86	86	86	86	86	86	
86	87	128	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	
86	87	128	85	202	100	100	100	216	202	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
