36	18
14
0	0	202	100	100	100	100	100	100	100	100	100	100	100	216	87	128	85	
0	0	87	0	0	0	0	0	0	0	174	0	0	0	85	87	128	85	
0	0	87	0	0	0	0	0	0	0	188	0	0	0	85	87	128	85	
0	0	87	0	0	0	0	0	88	72	72	92	0	0	99	101	128	85	
0	0	87	0	0	0	0	88	89	86	86	91	92	0	0	0	0	85	
0	0	87	0	0	0	0	99	100	100	100	216	91	106	106	106	106	107	
0	0	87	0	0	0	0	174	175	175	175	99	100	100	100	100	100	216	
0	0	105	72	72	73	0	188	204	204	204	175	176	0	0	0	0	85	
0	0	86	86	86	87	0	103	204	204	204	204	205	0	0	0	0	85	
0	0	202	100	100	101	0	174	204	204	204	204	205	0	0	0	0	85	
0	0	87	130	127	0	0	188	204	103	204	204	103	0	0	104	0	85	
0	0	87	128	71	72	73	188	204	175	204	204	176	0	0	85	0	85	
0	0	87	128	85	86	87	188	204	204	204	204	205	0	0	85	86	86	
0	0	87	128	99	100	101	188	204	204	204	204	205	0	0	99	216	86	
0	0	87	0	0	0	190	188	191	218	218	218	219	0	0	0	85	86	
0	0	87	0	0	0	217	188	219	0	0	0	0	0	0	0	85	86	
0	0	105	72	73	0	0	188	0	0	0	0	0	0	0	0	85	86	
0	0	202	100	101	0	0	188	0	0	0	0	0	0	88	106	107	86	
0	0	87	0	0	0	0	188	0	0	0	0	0	88	89	86	86	86	
0	0	87	0	0	0	113	115	0	0	0	0	88	89	86	86	86	86	
0	0	87	0	0	0	0	174	0	0	0	0	99	100	100	100	100	86	
0	0	87	0	0	0	0	188	0	0	0	0	0	0	0	127	129	85	
0	0	87	136	136	136	113	114	114	115	136	71	72	72	72	73	128	85	
0	0	87	150	150	150	285	285	285	285	150	85	86	86	86	87	128	85	
286	85	86	86	202	100	100	100	100	100	100	100	100	100	216	87	128	85	
286	85	86	86	87	175	175	175	175	175	175	175	175	175	85	87	128	85	
286	85	86	86	87	204	204	204	204	204	204	204	204	204	85	87	128	85	
286	85	86	86	87	218	218	218	218	218	218	218	218	218	85	87	128	85	
286	99	216	86	87	117	118	118	118	118	118	118	118	119	85	87	128	85	
230	233	99	100	101	0	0	0	0	0	0	0	0	0	85	87	128	85	
244	247	145	0	0	0	0	0	0	0	0	0	0	0	85	87	128	85	
258	261	159	0	0	0	0	0	0	0	0	0	0	0	85	87	128	85	
272	275	71	72	73	0	0	0	0	0	0	0	0	0	99	101	128	85	
285	71	107	86	87	0	0	0	0	0	0	0	0	0	0	127	132	85	
286	85	86	86	105	73	136	136	136	136	136	136	136	71	72	72	72	107	
286	85	86	86	86	87	150	150	150	150	150	150	150	85	86	86	86	86	
