12	49
14
1	1
1
42	500	132	133	134	135
86	87	281	85	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	87
86	87	281	85	86	100	100	100	86	86	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	86	86	86	100	100	100	100	100	100	100	86	86	86	86	87
86	87	281	85	87	175	175	175	85	87	175	175	175	175	175	174	175	175	175	174	175	175	175	175	175	175	175	175	175	174	175	175	175	175	85	86	87	281	190	175	175	174	175	175	85	86	86	86	87
86	87	281	85	87	218	218	218	85	87	218	189	204	191	218	188	218	218	189	188	204	204	204	204	204	204	191	218	189	188	204	204	204	204	99	100	101	281	203	204	204	188	204	204	85	86	86	86	87
86	101	281	99	101	169	170	281	99	101	281	203	204	205	113	114	115	281	217	188	218	218	218	189	204	204	205	281	217	188	218	218	218	189	175	174	176	281	217	218	218	188	218	218	85	86	86	86	101
87	175	204	176	281	183	184	282	281	281	281	217	218	219	281	174	281	281	281	188	281	281	281	203	204	204	205	281	281	188	281	281	281	217	218	188	219	281	281	281	281	188	281	281	99	100	100	101	233
87	218	218	219	281	281	282	281	282	281	295	296	281	281	169	188	281	88	114	114	78	256	281	217	218	218	219	281	113	114	115	281	281	281	281	188	281	281	169	170	113	114	115	173	281	281	281	146	247
105	106	92	281	281	281	281	282	169	170	283	281	281	281	183	188	88	89	86	86	86	270	78	256	281	281	281	281	281	174	281	281	173	281	281	188	281	281	183	184	281	174	282	225	281	281	281	160	261
86	86	91	92	281	281	281	281	104	184	281	281	281	88	72	72	89	86	86	86	86	86	86	270	78	256	281	281	281	188	170	282	225	281	88	72	92	281	239	282	281	188	225	281	255	75	72	73	275
86	86	86	91	92	281	281	281	284	281	281	281	88	89	86	86	86	86	86	86	86	86	86	86	86	270	78	256	281	188	184	225	281	88	86	86	86	92	281	239	169	188	255	75	269	86	86	86	73
86	86	86	86	91	73	4200	4200	284	4200	4200	71	89	86	86	86	86	86	86	86	86	86	86	86	86	86	86	270	72	72	72	73	4200	99	100	100	100	101	4200	71	72	72	269	86	86	86	86	86	87
86	86	86	86	86	87	150	150	284	150	150	85	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	87	150	285	285	285	285	285	150	85	86	86	86	86	86	86	86	86	87
