12	79
14
86	87	128	85	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	87	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286
86	87	128	85	202	100	100	100	216	202	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	216	86	202	100	100	100	100	100	100	100	216	86	86	86	87	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286
86	87	128	85	87	175	175	175	85	87	175	175	175	175	175	174	175	175	175	174	175	175	175	175	175	175	175	175	175	174	175	175	175	175	85	86	87	0	190	175	175	174	175	175	85	86	86	86	87	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286
86	87	0	85	87	218	218	218	85	87	218	189	204	191	218	188	218	218	189	188	204	204	204	204	204	204	191	218	189	188	204	204	204	204	99	100	101	0	203	204	204	188	204	204	85	86	86	86	87	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286
202	100	0	99	101	0	0	0	99	101	0	203	204	205	113	114	115	0	217	188	218	218	218	189	204	204	205	0	217	188	218	218	218	189	175	174	176	0	217	218	218	188	218	218	85	86	86	202	101	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286
87	175	175	176	0	0	0	0	0	0	0	217	218	219	0	174	0	0	0	188	0	0	0	203	204	204	205	0	0	188	0	0	0	217	218	188	219	0	0	0	0	188	0	0	99	100	100	101	233	229	230	230	230	230	229	230	230	230	230	229	230	230	230	230	229	230	230	230	230	229	230	230	230	230	229	230	230	230	230
87	218	218	219	0	0	0	0	0	0	0	0	0	0	0	188	0	88	72	72	78	79	0	217	218	218	219	0	113	114	115	0	0	0	0	188	0	0	0	0	113	114	115	0	0	0	0	146	247	243	244	245	246	244	243	244	245	246	244	243	244	245	246	244	243	244	245	246	244	243	244	245	246	244	243	244	245	246	244
105	106	92	0	0	0	0	0	0	0	0	0	0	0	0	188	88	89	86	86	86	77	78	79	0	0	0	0	0	174	0	0	0	0	0	188	0	0	0	0	0	174	0	0	0	0	0	160	261	257	258	259	260	258	257	258	259	260	258	257	258	259	260	258	257	258	259	260	258	257	258	259	260	258	257	258	259	260	258
86	86	91	92	0	0	0	0	104	0	0	0	0	88	72	72	90	86	86	86	86	86	86	77	78	79	0	0	0	188	0	0	0	0	88	72	92	0	0	0	0	188	0	0	74	75	72	73	275	271	272	272	272	272	271	272	272	272	272	271	272	272	272	272	271	272	272	272	272	271	272	272	272	272	271	272	272	272	272
86	86	86	91	92	0	0	0	108	0	0	0	88	89	86	86	86	86	86	86	86	86	86	86	86	77	78	79	0	188	0	0	0	88	89	86	91	92	0	0	0	188	74	75	76	86	86	105	73	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285	285
86	86	86	86	91	73	136	136	108	136	136	71	90	86	86	86	86	86	86	86	86	86	86	86	86	86	86	77	72	72	72	73	136	99	100	100	100	101	136	71	72	72	76	86	86	86	86	86	87	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286
86	86	86	86	86	87	150	150	108	150	150	85	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	87	150	285	285	285	285	285	150	85	86	86	86	86	86	86	86	86	87	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286	286
