# id	file_path	transparent_color_r	g	b
[TEXTURES]
1	Assets\Images\gimmick.jpg	0	0	254
2	Assets\Images\enemies.jpg	57	189	254
3 	Assets\Images\bosses.jpg	0	0	254
4 	Assets\Images\hazards.jpg	204	102	185
5 	Assets\Images\prizes.jpg	60	188	253
6 	Assets\Images\items.png		0	0	0
10	Assets\Images\stage1.png	250	250	25

# id	left	top	right	bottom	texture_id
[SPRITES]
	# gimmick				
	# RIGHT				
	# standing still				
100101	417	0	442	25	1
100102	442	0	467	25	1
	# walking				
100201	417	25	442	50	1
100202	442	25	467	50	1
100203	467	25	492	50	1
100204	492	25	517	50	1
100205	517	25	542	50	1
100206	542	25	567	50	1
	# jumping				
100301	417	50	442	75	1
	# sliding				
100302	442	50	467	75	1
	# getting damaged				
100401	417	75	442	100	1
100402	442	75	467	100	1
100403	467	75	492	100	1
100404	492	75	517	100	1
100405	517	75	542	100	1
100406	542	75	567	100	1
100407	567	75	592	100	1
100408	592	75	617	100	1
100409	617	75	642	100	1
100410	642	75	667	100	1
100411	667	75	692	100	1
				
	# stars				
	# small				
100601	426	144	436	154	1
100602	438	144	448	154	1
					
	#big				
100603	452	138	472	165	1
100604	474	138	494	165	1
100605	496	138	517	165	1
100606	519	138	540	165	1
100607	542	138	564	165	1
100608	566	138	588	165	1
100609	590	138	616	165	1
100610	618	138	644	165	1
100611	646	138	672	165	1
100612	674	138	700	165	1
					
	# normal				
100613	702	145	718	161	1
100614	720	145	736	161	1
					
	# smoke				
100615	324	145	757	161	1
100616	759	145	775	161	1
100617	777	145	793	161	1
100618	795	145	811	161	1
100619	813	145	827	161	1
					
	# bomb				
101001	419	224	435	240	1
					
	#tiny stars				
101002	436	229	444	237	1
101004	448	229	456	237	1
101006	462	229	470	237	1
101008	481	229	489	237	1
	
	# LEFT				
	# idle
110101	392	0	417	25	1
110102	367	0	392	25	1
	# walking				
110201	392	25	417	50	1
110202	367	25	392	50	1
110203	342	25	367	50	1
110204	317	25	342	50	1
110205	292	25	317	50	1
110206	267	25	292	50	1
	# jumping				
110301	392	50	417	75	1
	# sliding				
110302	367	50	392	75	1
	# getting damaged				
110401	392	75	417	100	1
110402	367	75	392	100	1
110403	342	75	367	100	1
110404	317	75	342	100	1
110405	292	75	317	100	1
110406	267	75	292	100	1
110407	242	75	267	100	1
110408	217	75	242	100	1
110409	192	75	217	100	1
110410	167	75	192	100	1
110411	142	75	167	100	1

	# stars				
	# small				
110601	398	144	408	154	1
110602	386	145	396	155	1
					
	#big				
110603	362	148	382	158	1
110604	340	149	360	159	1
110605	317	150	338	160	1
110606	294	151	315	161	1
110607	270	152	292	162	1
110608	246	153	268	163	1
110609	218	154	244	164	1
110610	190	155	216	165	1
110611	162	156	188	166	1
110612	134	157	160	167	1
					
	# normal				
110613	116	160	132	170	1
110614	98	161	114	171	1
					
	# smoke				
110615	77	164	510	174	1
110616	59	165	75	175	1
110617	41	166	57	176	1
110618	23	167	39	177	1
110619	7	168	21	178	1
					
	# bomb				
111001	399	171	415	181	1
					
	#tiny stars				
111002	390	174	398	184	1
111004	378	175	386	185	1
111006	364	176	372	186	1
111008	345	177	353	187	1
	
	#tiles
200000	0	0	239	392	10
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

# gimmick 1																						
101	100101	100	100102	100																		
102	100201	100	100202	100	100203	100	100204	100	100205	100	100206	100										
103	100301	100																				
104	100302	100																				
105	100401	100	100402	100	100403	100	100404	100	100405	100	100406	100	100407	100	100408	100	100409	100	100410	100	100411	100
106	100102	100																				
# star 2																						
#small																						
201	100601	100	100602	100																		
#nig																						
202	100603	100	100604	100	100605	100	100606	100	100607	100	100608	100	100609	100	100610	100	100611	100	100612	100		
#normal																						
203	100613	100	100614	100																		
#tiny																						
204	101002	100	101004	100	101006	100	101008	100														
#small brown																						
205	100601	100																				
#nig brown																						
206	100603	100	100605	100	100607	100	100609	100	100611	100												
#normal brown																						
207	100613	100																				
#small white																						
208	100602	100																				
#nig white																						
209	100604	100	100606	100	100608	100	100610	100	100612	100												
#normal white																						
210	100614	100																				
#smoke 3																						
301	100615	100	100616	100	100617	100	100618	100	100619	100												
302	100615	100	100616	100	100617	100																
#bomb 4																						
401	101001	100																				

#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
#gimmick						
1	101	102	103	104	105	106

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# GIMMICK
1	75	325	1

[SETTINGS]
map_width	65
map_height	24
objects	Assets\Texts\map1\objects.txt
title_map	Assets\Texts\map1\matrix.txt	200000
quadtree	Assets\Texts\map1\nodes.txt	Assets\Texts\map1\objects.txt
