#id	name	type	x	y	width	height	ani_set_id
0	Gimmick	1	48	480	0	0	1	
1	Ground	500	16	384	64	96
2	Ground	500	16	512	64	64
3	Ground	500	80	544	16	32
4	Ground	500	208	544	80	32
5	Ground	500	224	384	32	144
6	Ground	500	80	384	144	16
7	Ground	500	272	384	16	160
8	Ground	500	176	352	80	32
9	Ground	500	272	208	16	176
10	Ground	500	240	272	32	16
11	Ground	500	256	224	16	96
12	Ground	500	240	272	16	48
13	Ground	500	192	320	80	16
14	Ground	500	96	304	32	16
15	Ground	500	96	352	64	16
16	Ground	500	32	208	16	176
17	Ground	500	48	256	32	32
18	Ground	500	64	208	48	16
19	Ground	500	32	0	16	208
20	Ground	500	64	176	48	32
21	Ground	500	112	128	16	16
22	Ground	500	176	192	16	16
23	Ground	500	144	160	16	16
24	Ground	500	192	160	16	16
25	Ground	500	240	160	16	48
26	Ground	500	272	0	16	208
27	Ground	500	176	80	96	32
28	Ground	500	144	48	32	48
29	Ground	500	112	80	32	16
30	Ground	500	224	0	32	64
31	Ground	500	48	0	176	16
32	Ground	500	48	112	48	48
