12	32
33
0	0
0
62	62	62	62	62	62	62	62	62	62	62	62	63	73	61	62	62	63	73	61	62	62	62	62	62	62	62	62	62	62	62	62
128	95	95	95	95	95	95	95	95	95	95	129	63	73	61	62	62	63	73	61	128	95	95	95	95	95	95	95	95	95	95	129
63	32	32	32	32	31	32	32	32	32	31	61	63	73	61	62	62	63	73	61	63	32	32	32	32	31	32	32	32	32	31	61
63	65	65	65	65	64	65	65	65	65	64	94	96	138	61	62	62	63	138	94	96	65	65	65	65	64	65	65	65	65	64	61
63	98	20	20	98	97	98	20	20	98	97	138	138	138	61	62	62	63	138	138	138	98	20	20	98	97	98	20	20	98	97	61
63	98	20	20	98	97	98	20	20	98	28	29	29	29	162	62	62	161	29	29	29	30	20	20	98	97	98	20	20	98	97	61
63	65	65	65	65	64	65	65	127	65	94	95	95	95	95	95	95	95	95	95	95	96	65	65	65	64	65	29	29	29	29	162
63	98	98	98	98	97	98	98	32	98	31	32	32	32	32	31	32	32	32	32	31	32	98	98	98	97	29	62	62	62	62	62
63	130	131	130	131	130	131	98	98	98	97	98	98	98	98	97	98	98	98	98	97	98	98	98	98	29	62	62	62	62	62	62
63	163	164	163	164	163	164	98	98	98	97	98	98	98	98	97	98	98	98	98	97	98	98	98	29	62	62	62	62	62	62	62
161	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	62	62	62	62	62	62	62	62
62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62
