12	28
33
0	0
0
20	20	20	20	20	20	110	111	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	143	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	143	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	78	79	143	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	109	110	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	143	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	143	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	175	176	177	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	1	2	2	2	2	2	2	2	2	2	3	9	9	5	5	5	5	5	5	5	5	5	6	20
20	20	20	74	75	36	35	35	36	35	35	36	140	141	138	305	306	20	20	20	20	20	20	20	20	20	20	20
20	20	74	107	68	68	68	68	68	68	68	68	173	174	138	240	20	20	20	20	20	20	20	20	20	20	20	20
234	234	107	68	68	68	68	68	68	68	68	68	206	272	207	20	20	20	20	20	20	20	20	20	20	20	20	20
